ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate
COR,NYQ,Healthcare,United States,61042749440,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,330.95001220703125,307.198639755249,315.5413809967041,311.37001037597656,0.04655878725481968,20.2,11,POLARIDAD | FIB_786 | HVN | POLARIDAD | EMA200D | SMA50D | FIB_618 | EMA50D | POLARIDAD | AVWAP_52w_high | POLARIDAD,True,59.104689085815224,59.83709024995962,subiendo_positivo,1,True,77.38095238095238,369.30768,0.11590169626273794,1.73333,0.7333333333333333,0,2026-11-04,58,False,,,False,,True,3,True,,2026-09-07T12:45:09.555179,sp500,,325.0,310.0,300.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
APO,NYQ,Financial Services,United States,79422152704,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,133.6699981689453,126.85422141433716,128.70197334884642,127.77809738159179,0.03716634164848129,15.8,6,SMA50D | SMA200D | SMA50W | POLARIDAD | EMA200D | HVN,True,52.96071964533644,54.69229757657931,neutral,0,True,70.23809523809523,153.05263,0.14500360661752243,1.7619,0.7142857142857143,0,2026-11-03,57,False,,,False,,True,3,True,,2026-09-07T12:45:09.551836,sp500,,130.0,127.5,122.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BX,NYQ,Financial Services,United States,164568596480,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,136.14999389648438,128.11038549041749,131.12962000274658,129.62000274658203,0.03687384589642227,15.0,7,POLARIDAD | SMA200W | HVN | POLARIDAD | AVWAP_52w_high | SMA200D | POLARIDAD,True,45.945473708042506,54.68683046645022,bajando_negativo,0,True,44.84126984126984,144.04762,0.058006804682784185,2.08696,0.5217391304347826,0,2026-10-22,45,True,,,False,,True,3,True,Earnings en 45 días (2026-10-22),2026-09-07T12:45:09.554214,sp500,,132.5,130.0,125.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
CAH,NYQ,Healthcare,United States,57820651520,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,247.17999267578125,230.5751520676691,239.11582978161854,234.84549092464383,0.032624658682388716,14.8,11,POLARIDAD | FIB_786 | EMA50D | GAP | POLARIDAD | SMA50D | FIB_618 | HVN | AVWAP_earnings | AVWAP_52w_high | AVWAP_pivot_low,True,64.97293989511786,66.16137389071777,subiendo_positivo,1,True,50.0,270.9375,0.09611420029201456,1.5,0.8333333333333334,0,2026-11-05,59,False,,,False,,True,3,True,,2026-09-07T12:45:09.554019,sp500,,242.5,235.0,225.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
EDP.LS,LIS,Utilities,Portugal,19536912384,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,4.697000026702881,4.321294150714874,4.410365967388153,4.365830059051514,0.06102492179799583,14.8,6,SMA50W | SMA200D | EMA200D | HVN | POLARIDAD | POLARIDAD,True,58.31662315261311,58.68758347710291,bajando_negativo,0,True,33.730158730158735,5.14773,0.09596124563224984,1.72727,0.6818181818181818,0,,,False,,,False,,True,3,True,,2026-09-07T12:45:09.602870,stoxx600,,4.5,4.5,4.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
DLR,NYQ,Real Estate,United States,69497675776,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,188.38999938964844,175.97248289978026,179.04951050842286,177.51099670410156,0.04958059828805764,13.7,5,POLARIDAD | HVN | SMA50W | POLARIDAD | SMA200D,True,48.50529227158238,51.526081343418,subiendo_negativo,2,True,60.71428571428571,223.32259,0.1854269904109942,1.45455,0.8484848484848485,0,2026-10-22,45,True,,,False,,True,3,True,Earnings en 45 días (2026-10-22),2026-09-07T12:45:09.587965,sp500,,182.5,177.5,170.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
A,NYQ,Healthcare,United States,42283687936,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,150.86000061035156,136.3074621925354,138.7675423851013,137.53750228881836,0.08015682206235193,6.4,4,GAP | POLARIDAD | HVN | POLARIDAD,True,54.01659299311035,62.18314917902887,bajando_negativo,0,True,51.19047619047619,175.45,0.16299880213550222,1.72727,0.7272727272727273,0,,,False,,,False,,True,3,True,,2026-09-07T12:45:09.570432,sp500,,147.5,137.5,132.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
CMG,NYQ,Consumer Cyclical,United States,46769848320,Downtrend: Doble piso en formación,Downtrend: Doble piso en formación,36.959999084472656,34.552770497282,35.576420625496695,35.064595561389346,0.03743448304243112,14.9,8,AVWAP_52w_high | SMA200D | SMA50D | EMA50D | POLARIDAD | SMA50W | AVWAP_earnings | AVWAP_pivot_low,True,55.39628983103971,54.10940103748974,bajando_positivo,0,False,42.06349206349206,43.76562,0.1841347695916602,1.70588,0.7058823529411765,1,2026-10-28,51,False,,,False,,True,3,True,,2026-09-07T12:45:09.553327,sp500,,36.0,35.0,33.0,downtrend,double_bottom_unconfirmed,double_bottom_unconfirmed,0
BR,NYQ,Technology,United States,20692426752,Downtrend: Doble piso confirmado,Downtrend: Doble piso confirmado,172.8800048828125,159.63791928123473,161.1980177610016,160.41796852111815,0.06757280652397933,13.5,4,FIB_618 | POLARIDAD | HVN | SMA50D,True,50.20789046865848,53.46452900075816,bajando_negativo,0,False,60.71428571428571,213.375,0.2342375866118076,2.33333,0.5555555555555556,0,2026-11-03,57,False,,,False,,True,3,True,,2026-09-07T12:45:09.550125,sp500,,167.5,160.0,155.0,downtrend,double_bottom_confirmed,double_bottom_confirmed,0
AJG,NYQ,Financial Services,United States,68355891200,Downtrend: Doble piso confirmado,Downtrend: Doble piso confirmado,262.69000244140625,250.66968872192385,253.9409045397949,252.30529663085937,0.03330578941070611,11.4,5,HVN | EMA50D | FIB_618 | SMA200W | SMA50D,True,54.39171292885003,62.05846950513317,bajando_negativo,0,False,38.88888888888889,291.55557,0.10988453039826784,1.72727,0.7272727272727273,0,2026-10-29,52,False,,,False,,True,3,True,,2026-09-07T12:45:09.545242,sp500,,255.0,250.0,245.0,downtrend,double_bottom_confirmed,double_bottom_confirmed,0
