ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate,candle_signals,candle_bullish_confirmation,candle_bearish_breakdown,strike_variant,strike_anchor_kind,strike_aggressive_anchor,strike_conservative_anchor
CS.PA,PAR,Financial Services,France,91288772608,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,44.33000183105469,40.86873984718323,41.651260610580444,41.260000228881836,0.06042727520479581,16.5,10,POLARIDAD | SMA50W | POLARIDAD | POLARIDAD | HVN | GAP | SMA200D | POLARIDAD | POLARIDAD | POLARIDAD,True,52.65117068827663,57.24982857488392,subiendo_positivo,1,True,69.84126984126983,52.04222,0.17397288180445414,1.72222,0.8333333333333334,0,,,False,,,False,,True,2,True,,2026-09-22T11:48:18.465338,stoxx600,,40.0,39.0,38.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
EDP.LS,LIS,Utilities,Portugal,19168995328,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,4.843999862670898,4.349339408349991,4.411800556707383,4.380569982528687,0.0892236412503134,15.0,6,SMA50W | HVN | POLARIDAD | EMA200D | POLARIDAD | SMA200D,True,61.25730537974102,62.8837019882616,subiendo_positivo,1,True,55.952380952380956,5.21591,0.0767774871744189,1.68182,0.7272727272727273,0,2026-11-06,45,True,,,False,,True,2,True,Earnings en 45 días (2026-11-06),2026-09-22T11:48:18.450898,stoxx600,,4.0,3.5,3.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
AMZN,NMS,Consumer Cyclical,United States,2736595664896,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,258.45001220703125,238.6229527967342,243.48292834425993,241.05294057049707,0.05791094275817617,14.3,6,HVN | POLARIDAD | SMA50W | SMA200D | FIB_618 | EMA200D,True,52.69019952404597,53.820774471932076,subiendo_negativo,1,True,37.301587301587304,328.2244,0.2699724685525493,1.31667,0.9666666666666667,0,2026-10-29,37,True,,,False,,True,2,True,Earnings en 37 días (2026-10-29),2026-09-22T11:48:18.409115,nasdaq100|sp500|watchlist,,235.0,230.0,220.0,uptrend,zone_proximity,zone_proximity,0,body_reclaim_engulfing|body_reclaim_morning_star,1,0,F,zone_bound,zone_lower_bound,zone_lower_bound
CFG,NYQ,Financial Services,United States,28235694080,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,67.36000061035156,63.96058685006142,64.86876478491783,64.41467581748962,0.03698390443676588,12.0,4,POLARIDAD | HVN | EMA200D | SMA200D,True,37.943630531794675,50.4833204937484,bajando_negativo,1,True,37.301587301587304,81.47059,0.2094802443852708,1.61111,0.8333333333333334,0,2026-10-16,24,True,,,False,,True,2,True,Earnings en 24 días (2026-10-16),2026-09-22T11:48:18.434445,sp500,,63.0,62.0,59.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
AKAM,NMS,Technology,United States,15021259776,Uptrend: Proximidad a zona + divergencia,Uptrend: Proximidad a zona + divergencia,117.41000366210938,110.07414382638164,111.64122421257444,110.85768401947804,0.04913362805214388,11.2,4,EMA200D | SMA200D | HVN | AVWAP_earnings,True,59.6449439963057,52.25972083717062,subiendo_positivo,1,True,55.952380952380956,153.31348,0.30579571772449765,2.08,0.6,0,2026-11-05,44,True,,,False,,True,2,True,Earnings en 44 días (2026-11-05),2026-09-22T11:48:18.399482,sp500,,107.5,102.5,92.5,uptrend,zone_proximity,zone_proximity|bullish_divergence,0,bearish_engulfing,0,1,F,zone_bound,zone_lower_bound,zone_lower_bound
ADI,NMS,Technology,United States,182060941312,Uptrend: Proximidad a zona + divergencia,Uptrend: Proximidad a zona + divergencia,383.0,359.9976063847234,367.81843276232644,363.90801957352494,0.03963855675632784,10.8,5,FIB_618 | POLARIDAD | HVN | AVWAP_pivot_low | AVWAP_earnings,True,58.86828971157757,54.37025881174586,subiendo_positivo,1,True,51.587301587301596,470.71875,0.2290306788511749,1.38235,0.9117647058823529,0,,,False,,,False,,True,2,True,,2026-09-22T11:48:18.445824,nasdaq100|sp500,,355.0,345.0,325.0,uptrend,zone_proximity,zone_proximity|bullish_divergence,0,bearish_momentum|body_reclaim_engulfing,1,1,F,zone_bound,zone_lower_bound,zone_lower_bound
A,NYQ,Healthcare,United States,44119191552,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,161.94000244140625,145.52970168945313,150.38796432617187,147.9588330078125,0.07133529665972548,10.0,8,FIB_786 | SMA50D | EMA50D | HVN | FIB_618 | POLARIDAD | POLARIDAD | POLARIDAD,True,68.95997125615222,66.81856919223713,subiendo_positivo,1,True,72.22222222222221,174.95238,0.0803530774510266,1.78261,0.6956521739130435,0,,,False,,,False,,True,2,True,,2026-09-22T11:48:18.443871,sp500,,142.5,140.0,132.5,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
AMAT,NMS,Technology,United States,352809615360,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,464.239990234375,416.83600580898286,426.5516987350845,421.6938522720337,0.08118277677944818,9.2,5,SMA200D | POLARIDAD | EMA200D | HVN | DIVERGENCIA,True,49.70904757269836,50.39406464179451,subiendo_positivo,2,True,53.17460317460318,640.8857,0.3805051556985519,1.4359,0.8461538461538461,0,2026-11-12,51,False,,,False,,True,2,True,,2026-09-22T11:48:18.408897,nasdaq100|sp500,macd,410.0,395.0,350.0,uptrend,zone_proximity,zone_proximity,0,body_reclaim_engulfing,1,0,F,zone_bound,zone_lower_bound,zone_lower_bound
BAC,NYQ,Financial Services,United States,403691372544,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,57.959999084472656,52.56465173564911,52.932749768867495,52.7487007522583,0.08673653200508674,9.0,4,HVN | GAP | POLARIDAD | POLARIDAD,True,31.087341988461745,50.28335707822244,bajando_negativo,1,True,77.77777777777779,68.85714,0.18801140592920862,1.54167,0.8333333333333334,0,2026-10-14,22,True,,,False,,True,2,True,Earnings en 22 días (2026-10-14),2026-09-22T11:48:18.405199,sp500,,52.0,51.0,48.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
CDW,NMS,Technology,United States,18276296704,Downtrend: Doble piso en formación,Downtrend: Doble piso en formación,146.41000366210938,138.2105529634023,139.0857724292954,138.64816269634883,0.050025483570898116,11.2,3,HVN | POLARIDAD | EMA200D,True,50.75154054309619,55.26172638561495,bajando_negativo,0,False,77.38095238095238,158.88889,0.08523247063561223,1.8,0.7,0,2026-11-03,42,True,,,False,,True,2,True,Earnings en 42 días (2026-11-03),2026-09-22T11:48:18.408116,sp500,,135.0,130.0,117.5,downtrend,double_bottom_unconfirmed,double_bottom_unconfirmed|zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
